Matricula;Periodo de Ingresso;Forma de Ingresso;Curriculo;Estado Civil;Sexo;Idade Aproximada no Ingresso;Cor;Cota;Status;Tipo de Evasao;Periodo de Evasao
111210656;2011.2;VESTIBULAR  ENEM;1999;Solteiro;MASCULINO;19;Branca;-;INATIVO;CANCELAMENTO POR ABANDONO;2014.2
111110092;2011.1;VESTIBULAR  ENEM;1999;Solteiro;FEMININO;19;Branca;-;INATIVO;GRADUADO;2016.1
113210862;2013.2;VESTIBULAR  ENEM;1999;Solteiro;FEMININO;19;Parda;-;INATIVO;CANCELAMENTO P SOLICITACAO ALUNO;2014.2
112110947;2012.1;VESTIBULAR  ENEM;1999;Solteiro;MASCULINO;18;Parda;-;INATIVO;GRADUADO;2016.2
117210407;2017.2;SISU;2017;Solteiro;MASCULINO;18;Branca;-;INATIVO;CANCELADO 3 REPROV MESMA DISCIPLINA;2020.1
112210653;2012.2;VESTIBULAR  ENEM;1999;Casado;MASCULINO;35;Parda;-;INATIVO;CANCELADO 3 REPROV MESMA DISCIPLINA;2016.1
119110790;2019.1;TRANSFERENCIA;2017;Solteiro;MASCULINO;32;Branca;-;INATIVO;GRADUADO;2021.2
111110915;2011.1;VESTIBULAR  ENEM;1999;Solteiro;MASCULINO;22;Parda;-;INATIVO;CANCELAMENTO POR ABANDONO;2013.2
120110396;2020.1;SISU;2017;Solteiro;MASCULINO;30;Branca;-;ATIVO;REGULAR;-
112210068;2012.2;VESTIBULAR  ENEM;1999;Solteiro;MASCULINO;19;Branca;-;INATIVO;GRADUADO;2018.1
111210449;2011.2;VESTIBULAR  ENEM;1999;Casado;MASCULINO;32;Branca;-;INATIVO;CANCELADO REPROVOU TODAS POR FALTAS;2013.2
111110063;2011.1;VESTIBULAR  ENEM;1999;Solteiro;MASCULINO;19;Branca;-;INATIVO;GRADUADO;2017.2
119110224;2019.1;SISU;2017;Solteiro;MASCULINO;23;Branca;-;INATIVO;CANCELAMENTO P SOLICITACAO ALUNO;2019.1
115211549;2015.2;SISU;1999;Solteiro;MASCULINO;23;Branca;-;INATIVO;CANCELADO 3 REPROV MESMA DISCIPLINA;2018.1
112110040;2012.1;VESTIBULAR  ENEM;1999;Casado;MASCULINO;32;Parda;-;INATIVO;CANCELADO REPROVOU TODAS POR FALTAS;2012.2
122210256;2022.2;SISU;2017;Casado;MASCULINO;41;Parda;L2;ATIVO;REGULAR;-
120111215;2020.1;GRADUADO;2023;Solteiro;FEMININO;27;Parda;-;ATIVO;REGULAR;-
111110928;2011.1;VESTIBULAR  ENEM;1999;Solteiro;FEMININO;20;Branca;-;INATIVO;CANCELADO 3 REPROV MESMA DISCIPLINA;2014.2
119210937;2019.2;TRANSFERENCIA;2017;Solteiro;MASCULINO;28;Branca;-;INATIVO;CANCELAMENTO POR ABANDONO;2022.2
112110948;2012.1;VESTIBULAR  ENEM;1999;Solteiro;MASCULINO;18;Parda;-;INATIVO;GRADUADO;2019.1
112110874;2012.1;REOPCAO;1999;Solteiro;MASCULINO;30;Parda;-;INATIVO;CANCELAMENTO P SOLICITACAO ALUNO;2013.2
114110430;2014.1;VESTIBULAR  ENEM;1999;Solteiro;MASCULINO;20;Branca;-;INATIVO;CANCELAMENTO POR ABANDONO;2016.2
121210726;2021.2;SISU;2023;Casado;MASCULINO;28;Parda;-;ATIVO;REGULAR;-
112110036;2012.1;VESTIBULAR  ENEM;1999;Casado;MASCULINO;31;Parda;-;INATIVO;GRADUADO;2016.1
122210318;2022.2;SISU;2023;Solteiro;MASCULINO;23;Branca;L5;ATIVO;REGULAR;-
121110750;2021.1;SISU;2017;Solteiro;MASCULINO;20;Parda;L5;ATIVO;REGULAR;-
114111367;2014.1;VESTIBULAR  ENEM;1999;Solteiro;MASCULINO;19;Branca;-;INATIVO;CANCELAMENTO P SOLICITACAO ALUNO;2015.2
113112301;2013.1;VESTIBULAR  ENEM;1999;Casado;MASCULINO;27;Parda;L2;INATIVO;CANCELADO REPROVOU TODAS POR FALTAS;2014.1
111110129;2011.1;VESTIBULAR  ENEM;1999;Solteiro;FEMININO;23;Branca;-;INATIVO;CANCELAMENTO POR ABANDONO;2011.2
112210666;2012.2;VESTIBULAR  ENEM;1999;Solteiro;FEMININO;21;Branca;-;INATIVO;GRADUADO;2017.1
114110473;2014.1;VESTIBULAR  ENEM;1999;Solteiro;FEMININO;18;Branca;-;INATIVO;CANCELADO REPROVOU TODAS POR FALTAS;2015.1
112110101;2012.1;VESTIBULAR  ENEM;1999;Solteiro;MASCULINO;18;Branca;-;INATIVO;CANCELADO 3 REPROV MESMA DISCIPLINA;2017.2
113110010;2013.1;VESTIBULAR  ENEM;1999;Solteiro;MASCULINO;24;Branca;-;INATIVO;CANCELADO 3 REPROV MESMA DISCIPLINA;2016.2
113210152;2013.2;VESTIBULAR  ENEM;1999;Solteiro;FEMININO;18;Parda;-;INATIVO;CANCELADO REPROVOU TODAS POR FALTAS;2014.1
121110386;2021.1;SISU;2023;Solteiro;MASCULINO;18;Branca;-;ATIVO;REGULAR;-
122110982;2022.1;SISU;2017;Solteiro;MASCULINO;30;Preta;L6;INATIVO;CANCELAMENTO POR ABANDONO;2022.2
117210688;2017.2;SISU;2017;Solteiro;MASCULINO;29;Branca;-;INATIVO;GRADUADO;2024.1
119110108;2019.1;SISU;2017;Solteiro;MASCULINO;18;Branca;-;INATIVO;GRADUADO;2022.2
116110498;2016.1;SISU;1999;Solteiro;MASCULINO;23;Branca;-;INATIVO;GRADUADO;2019.1
