CENTRO;Cod Curso;MODALIDADE;TURNO;?REA DO CONHECIMENTO;FATOR;CAMPUS;Curso;Cod. EMEC;Situa?o EMEC;Situa?o EMEC2;Curr?ulo;CH;Tempo M?imo;VAGAS 1;VAGAS 2;INGRESSANTES;ATIVOS;GRADUADOS;RF+R3
11;11104120;2;1;EXATAS E TECNOL?GICAS;0.1325;1;DESIGN - D;13447;Ativo;Ativo;2013;2640;3.5;30;30;32;247;13;13
11;11105110;1;1;EXATAS E TECNOL?GICAS;0.1;1;F?SICA (LICENCIATURA) - D;1204358;Ativo;Ativo;;2955;4;20;0;19;31;0;0
11;11105150;5;1;EXATAS E TECNOL?GICAS;0.1325;1;FISICA (BACHARELADO) - D;318388;Ativo;Ativo;1995;2880;3.5;20;0;22;40;2;2
11;11107110;1;1;EXATAS E TECNOL?GICAS;0.1325;1;MATEMATICA (LICENCIATURA) - D;13448;Ativo;Ativo;2008;2835;4;20;0;19;53;1;3
11;11107150;5;1;EXATAS E TECNOL?GICAS;0.1325;1;MATEMATICA (BACHARELADO) - D;313448;Ativo;Ativo;2008;2400;4;10;0;9;25;1;2
11;11107210;1;2;EXATAS E TECNOL?GICAS;0.1;1;MATEMATICA (LICENCIATURA) - N;44247;Ativo;Ativo;2008;2835;4.5;30;0;34;91;1;3
11;11124100;0;1;EXATAS E TECNOL?GICAS;0.1325;1;ENGENHARIA MECANICA - D;13442;Ativo;Ativo;1992;4125;5;40;40;54;381;15;19
11;11126100;0;1;EXATAS E TECNOL?GICAS;0.1325;1;ENGENHARIA DE MATERIAIS - D;13445;Ativo;Ativo;2009;3600;5;60;0;80;262;6;10
11;11128100;0;1;EXATAS E TECNOL?GICAS;0.1325;1;ENGENHARIA QUIMICA - D;13441;Ativo;Ativo;2009;3600;5;60;0;64;260;22;27
11;11133100;0;1;EXATAS E TECNOL?GICAS;0.1325;1;ENGENHARIA DE PRODUCAO - D;79570;Ativo;Ativo;2010;3600;4.5;40;0;41;220;6;12
11;11134100;0;1;EXATAS E TECNOL?GICAS;0.1325;1;ESTATISTICA - D;1120733;Ativo;Ativo;2012;3000;4;30;0;25;54;2;4
11;11135100;0;1;EXATAS E TECNOL?GICAS;0.1325;1;ENGENHARIA DE PETROLEO - D;118562;Ativo;Ativo;2011;3660;5;50;0;60;228;9;14
12;12204100;0;1;BIOL?GICAS E DA SA?DE;66;1;ENFERMAGEM - D;1134328;Ativo;Ativo;2011;4170;5;20;20;24;232;26;28
12;12205100;0;1;BIOL?GICAS E DA SA?DE;65;1;MEDICINA - D;13453;Ativo;Ativo;2010;7275;6;45;45;56;474;40;40
12;12208200;0;2;BIOL?GICAS E DA SA?DE;0.1;1;PSICOLOGIA - N;1108087;Ativo;Ativo;2010;4005;5;45;45;45;312;19;20
13;13301100;0;1;HUMANAS E SOCIAIS;0.12;1;ADMINISTRACAO - D;13434;Ativo;Ativo;1995;3165;4;40;40;42;277;20;29
13;13301200;0;2;HUMANAS E SOCIAIS;0.12;1;ADMINISTRACAO - N;13434;Ativo;Ativo;1995;3165;4;;40;0;146;9;12
13;13304100;0;1;HUMANAS E SOCIAIS;0.12;1;CIENCIAS ECONOMICAS - M;13451;Ativo;Ativo;2009;3000;4;45;0;51;137;7;12
13;13304200;0;2;HUMANAS E SOCIAIS;0.12;1;CIENCIAS ECONOMICAS - N;13451;Ativo;Ativo;2009;3000;4;;45;4;123;5;18
13;13305150;5;1;HUMANAS E SOCIAIS;0.12;1;CIENCIAS SOCIAIS (BACHARELADO) - D;313436;Ativo;Ativo;1992;2685;4;30;0;29;69;4;4
13;13305210;1;2;HUMANAS E SOCIAIS;0.1;1;CIENCIAS SOCIAIS (LICENCIATURA) - N;13436;Ativo;Ativo;1992;2565;3.5;;40;10;110;7;10
13;13306100;0;1;HUMANAS E SOCIAIS;0.12;1;COMUNICACAO SOCIAL - D;1149786;Ativo;Ativo;2014;2700;3.5;;40;1;96;10;11
13;13306200;0;2;HUMANAS E SOCIAIS;0.12;1;COMUNICACAO SOCIAL - N;1149786;Ativo;Ativo;2014;2700;4;;40;8;125;5;5
13;13309110;1;1;HUMANAS E SOCIAIS;0.1;1;HISTORIA (LICENCIATURA) - D;13449;Ativo;Ativo;1986;2850;3;40;0;40;134;12;14
13;13309210;1;2;HUMANAS E SOCIAIS;0.1;1;HISTORIA (LICENCIATURA) - N;13449;Ativo;Ativo;1986;2850;3;;40;1;127;14;14
13;13310110;1;1;HUMANAS E SOCIAIS;0.1;1;LETRAS- LINGUA PORTUGUESA (LICENC.) - D;1158116;Ativo;Ativo;2014;2955;;35;0;35;102;0;0
13;13310115;1;1;HUMANAS E SOCIAIS;0.1;1;LETRAS-LING.PORT./LING.FRANCESA    (LIC.)-D;1158117;Ativo;Ativo;2013;-;;10;0;9;28;0;0
13;13310116;1;1;HUMANAS E SOCIAIS;0.1;1;LETRAS (LINGUA INGLESA) - D;1158907;Ativo;Ativo;2013;-;;25;0;26;71;0;0
13;13310210;1;2;HUMANAS E SOCIAIS;0.1;1;LETRAS - LINGUA PORTUGUESA (LICENC.) - N;1158116;Ativo;Ativo;2014;2955;;;30;0;60;0;0
