CODIGO_CURSO;CODIGO_CURRICULAR;CODIGO_DISCIPLINA;NOME_DISCIPLINA;CREDITO_DISCIPLINA;HORAS_DISCIPLINA;TIPO;SEMESTRE_IDEAL
14102100;2023;1109049;ÁLGEBRA LINEAR I;4;60;OBRIGATORIO;3
14102100;2023;1109126;CÁLCULO DIFERENCIAL E INTEGRAL I;4;60;OBRIGATORIO;2
14102100;2023;1109131;CÁLCULO DIFERENCIAL E INTEGRAL II;4;60;OBRIGATORIO;3
14102100;2023;1114129;INTRODUÇÃO À PROBABILIDADE;4;60;OBRIGATORIO;4
14102100;2023;1114222;ESTATÍSTICA APLICADA;4;60;OBRIGATORIO;5
14102100;2023;1303021;ECONOMIA;4;60;OBRIGATORIO;2
14102100;2023;1305219;DIREITO E CIDADANIA;4;60;OBRIGATORIO;1
14102100;2023;1307150;INGLÊS;4;60;OPCIONAL;-1
14102100;2023;1307169;LÍNGUA PORTUGUESA;4;60;OBRIGATORIO;8
14102100;2023;1307332;LIBRAS;4;60;OPCIONAL;-1
14102100;2023;1411167;PROGRAMAÇÃO I;4;60;OBRIGATORIO;1
14102100;2023;1411168;PROGRAMAÇÃO II;4;60;OBRIGATORIO;2
14102100;2023;1411171;TEORIA DA COMPUTAÇÃO;4;60;OBRIGATORIO;4
14102100;2023;1411172;ESTRUTURAS DE DADOS E ALGORITMOS;4;60;OBRIGATORIO;3
14102100;2023;1411174;INTRODUÇÃO À COMPUTAÇÃO;4;60;OBRIGATORIO;1
14102100;2023;1411179;LAB.DE ESTRUTURAS DE DADOS E ALGORITMOS;4;60;OBRIGATORIO;3
14102100;2023;1411180;LABORATÓRIO DE PROGRAMAÇÃO I;4;60;OBRIGATORIO;1
14102100;2023;1411181;LABORATÓRIO DE PROGRAMAÇÃO II;4;60;OBRIGATORIO;2
14102100;2023;1411185;PROJETO EM COMPUTAÇÃO I;4;60;OBRIGATORIO;8
14102100;2023;1411187;ANÁLISE E TÉCNICA DE ALGORITMOS;4;60;OBRIGATORIO;6
14102100;2023;1411188;MÉTODOS E SOFTWARE NUMÉRICOS;4;60;OPCIONAL;-1
14102100;2023;1411189;COMPILADORES;4;60;OBRIGATORIO;7
14102100;2023;1411190;REDES DE COMPUTADORES;4;60;OBRIGATORIO;5
14102100;2023;1411192;SISTEMAS OPERACIONAIS;4;60;OBRIGATORIO;5
14102100;2023;1411193;BANCO DE DADOS I;4;60;OBRIGATORIO;4
14102100;2023;1411194;BANCO DE DADOS II;4;60;OPCIONAL;-1
14102100;2023;1411197;AVAL.DE DESEMPENHO DE SISTEMAS DISCRETOS;4;60;OPCIONAL;-1
14102100;2023;1411198;ADM.DE SIST.GERENC.DE BANCO DE DADOS;4;60;OPCIONAL;-1
14102100;2023;1411200;COMPUTAÇÃO GRÁFICA;4;60;OPCIONAL;-1
14102100;2023;1411213;OTIMIZAÇÃO;4;60;OPCIONAL;-1
14102100;2023;1411217;PROJETO DE REDES DE COMPUTADORES;4;60;OPCIONAL;-1
