CODIGO_CURSO;CODIGO_CURRICULAR;CODIGO_DISCIPLINA;NOME_DISCIPLINA;CODIGO_DISCIPLINA;HORAS_DISCIPLIN;TIPO;SEMESTRE_IDEAL
14102100;1999;1105237;PERCEPCAO DA FORMA;4;60;OPCIONAL;-1
14102100;1999;1108025;F?SICA GERAL III;6;90;OBRIGATORIO;-1
14102100;1999;1108030;F?SICA GERAL I;4;60;OBRIGATORIO;-1
14102100;1999;1108031;F?SICA GERAL II;4;60;OBRIGATORIO;-1
14102100;1999;1108089;FUNDAMENTOS DE F?SICA CL?SSICA;4;60;OBRIGATORIO;2
14102100;1999;1108090;FUNDAMENTOS DE F?SICA MODERNA;4;60;OBRIGATORIO;3
14102100;1999;1109008;CALCULO DIF E INTEGRAL II;4;60;OBRIGATORIO;-1
14102100;1999;1109035;ALGEBRA VETORIAL E GEOMETRIA ANAL?TICA;4;60;OBRIGATORIO;1
14102100;1999;1109049;?LGEBRA LINEAR I;4;60;OBRIGATORIO;3
14102100;1999;1109050;CALCULO DIFERENCIAL E INTEGRAL I;6;90;OBRIGATORIO;-1
14102100;1999;1109051;CALCULO DIFERENCIAL E INTEGRAL III;6;90;OPCIONAL;-1
14102100;1999;1109053;CALCULO DIFERENCIAL E INTEGRAL II;4;60;OBRIGATORIO;2
14102100;1999;1109054;NO??ES DE ?LGEBRA ABSTRATA;4;60;OBRIGATORIO;-1
14102100;1999;1109101;ALGEBRA LINEAR;4;60;OBRIGATORIO;-1
14102100;1999;1109103;CALCULO DIFERENCIAL E INTEGRAL I;4;60;OBRIGATORIO;1
14102100;1999;1109104;CALCULO DIFERENCIAL E INTEGRAL II;4;60;OBRIGATORIO;-1
14102100;1999;1109105;CALCULO DIFERENCIAL E INTEGRAL III;5;75;OPCIONAL;-1
14102100;1999;1109106;EQUACOES DIFERENCIAIS;4;60;OPCIONAL;-1
14102100;1999;1109113;MATEM?TICA DISCRETA;4;60;OBRIGATORIO;2
14102100;1999;1112022;ERGONOMIA (SDI);8;120;OPCIONAL;-1
14102100;1999;1112083;TEORIA E PR?TICA DA COR (SDI);4;60;OPCIONAL;-1
14102100;1999;1112098;CRIATIVIDADE (SDI);4;60;OPCIONAL;-1
14102100;1999;1112202;PERCEPCAO DA FORMA;0;60;OPCIONAL;-1
14102100;1999;1112203;ERGONOMIA;4;60;OPCIONAL;-1
14102100;1999;1114052;PROBABILIDADE E ESTAT?STICA;6;90;OBRIGATORIO;-1
14102100;1999;1114107;PROBABILIDADE E ESTAT?STICA;4;60;OBRIGATORIO;3
14102100;1999;1114114;METODOS ESTATISTICOS;4;60;OBRIGATORIO;4
14102100;1999;1301014;ADMINISTRA??O;4;60;OPCIONAL;-1
14102100;1999;1301055;MATEM?TICA FINANCEIRA;4;60;OPCIONAL;-1
14102100;1999;1301061;PROCESSO DECISORIO;4;60;OPCIONAL;-1
14102100;1999;1301078;GESTAO DA QUALIDADE;4;60;OPCIONAL;-1
14102100;1999;1301091;FUNDAMENTOS DE CONTABILIDADE E OR?AMENTO;4;60;OPCIONAL;-1
14102100;1999;1302123;COMPUTA??O E M?SICA;4;60;OPCIONAL;-1
14102100;1999;1303021;ECONOMIA;4;60;OPCIONAL;-1
14102100;1999;1304009;EDUCA??O F?SICA;2;30;OPCIONAL;-1
14102100;1999;1304010;GINASTICA - MASC;2;30;OPCIONAL;-1
14102100;1999;1304012;VOLEIBOL - MASC/FEM;2;30;OPCIONAL;-1
14102100;1999;1304013;BASQUETEBOL - MASC;2;30;OPCIONAL;-1
14102100;1999;1304015;INTRODU??O ? PSICOLOGIA;4;60;OPCIONAL;-1
14102100;1999;1304022;GINASTICA - FEM;2;30;OPCIONAL;-1
14102100;1999;1304024;VOLEIBOL - MAS/FEM;2;30;OPCIONAL;-1
14102100;1999;1304025;BASQUETEBOL - FEM;2;30;OPCIONAL;-1
14102100;1999;1304055;FUTSAL;2;30;OPCIONAL;-1
14102100;1999;1304059;FUTEBOL DE CAMPO;2;30;OPCIONAL;-1
14102100;1999;1304062;PR?TICA DESPORTIVA;2;30;OPCIONAL;-1
14102100;1999;1304117;GINASTICA MASC/FEM;2;30;OPCIONAL;-1
14102100;1999;1304122;BASQUETE   MASC/FEM;2;30;OPCIONAL;-1
14102100;1999;1304123;FUTSAL - FEM;2;30;OPCIONAL;-1
14102100;1999;1304163;PSICOLOGIA DA APRENDIZAGEM;4;60;OPCIONAL;-1
14102100;1999;1304172;FUTEBOL MASCULINO;2;30;OPCIONAL;-1
14102100;1999;1304173;JUDO - MASC/FEM;2;30;OPCIONAL;-1
14102100;1999;1305020;RELACOES HUMANAS;3;45;OPCIONAL;-1
14102100;1999;1305033;SOCIOLOGIA INDUSTRIAL I;3;45;OPCIONAL;-1
14102100;1999;1305036;INSTITUICOES DO DIREITO;3;45;COMPLEMENTAR;-1
14102100;1999;1305166;ETICA;4;60;OPCIONAL;-1
14102100;1999;1305213;TECC (METODOLOGIA DE PESQUISA);4;60;COMPLEMENTAR;-1
14102100;1999;1305218;METODOLOGIA CIENT?FICA;4;60;COMPLEMENTAR;2
14102100;1999;1305219;DIREITO E CIDADANIA;4;60;COMPLEMENTAR;6
14102100;1999;1305220;INFORM?TICA E SOCIEDADE;2;30;COMPLEMENTAR;5
14102100;1999;1305221;CI?NCIA E DESENVOLVIMENTO;2;30;OPCIONAL;-1
14102100;1999;1305222;INTRODU??O ? FILOSOFIA;4;60;OPCIONAL;-1
14102100;1999;1305253;ENADE/CONCLUINTE;0;0;COMPLEMENTAR;-1
14102100;1999;1305254;ENADE/INGRESSANTE;0;0;COMPLEMENTAR;-1
14102100;1999;1307011;INGLES;5;75;OPCIONAL;-1
14102100;1999;1307012;INGLES I;3;45;OPCIONAL;-1
14102100;1999;1307013;INGLES II;3;45;OPCIONAL;-1
14102100;1999;1307045;LINGUA PORTUGUESA;5;75;OBRIGATORIO;-1
14102100;1999;1307091;REDA??O CIENT?FICA;4;60;OPCIONAL;-1
14102100;1999;1307150;INGL?S;4;60;OPCIONAL;-1
14102100;1999;1307151;LEITURA E PRODUCAO DE TEXTOS;4;60;OBRIGATORIO;1
14102100;1999;1404031;ELETRONICA DIGITAL;6;90;OPCIONAL;-1
14102100;1999;1411004;ORGANIZACAO DE COMPUTADORES;4;60;OBRIGATORIO;-1
14102100;1999;1411018;SISTEMAS OPERACIONAIS I;4;60;COMPLEMENTAR;-1
14102100;1999;1411019;LING FORMAIS E AUTOMATOS;4;60;OBRIGATORIO;-1
14102100;1999;1411038;LINGUAGEM DE PROGRAMA??O I;4;60;OBRIGATORIO;-1
14102100;1999;1411039;T?CNICAS DE ARQUIVAMENTO;4;60;OBRIGATORIO;-1
14102100;1999;1411040;LINGUAGEM DE PROGRAMA??O II;4;60;OBRIGATORIO;-1
14102100;1999;1411050;ESTRUTURA DE DADOS;4;60;OBRIGATORIO;-1
14102100;1999;1411056;INTRODU??O ? COMPUTA??O;4;60;OBRIGATORIO;-1
14102100;1999;1411058;METODOLOGIA DE PROGRAMA??O;4;60;COMPLEMENTAR;-1
14102100;1999;1411075;CALCULO NUMERICO;4;60;COMPLEMENTAR;-1
14102100;1999;1411093;PROJETO E AN?LISE DE ALGORITMOS;4;60;COMPLEMENTAR;-1
14102100;1999;1411094;REDES DE COMPUTADORES;4;60;COMPLEMENTAR;-1
14102100;1999;1411095;INTRODU??O A BANCO DE DADOS;4;60;OBRIGATORIO;-1
14102100;1999;1411096;COMPILADORES I;4;60;COMPLEMENTAR;-1
14102100;1999;1411099;INTELIGENCIA ARTIFICIAL;4;60;COMPLEMENTAR;-1
14102100;1999;1411102;TEORIA DA COMPUTA??O;4;60;OBRIGATORIO;-1
14102100;1999;1411103;ESTRUTURAS E PROJ DE LINGUAGEM;4;60;OBRIGATORIO;-1
14102100;1999;1411104;SISTEMAS DE INFORMACAO I;4;60;OBRIGATORIO;-1
14102100;1999;1411106;LINGUAGEM DE PROGRAMA??O IV;4;60;OPCIONAL;-1
14102100;1999;1411120;ADMINISTRA??O PARA INFORM?TICA I;4;60;OBRIGATORIO;-1
14102100;1999;1411125;SOFTWARE BASICO;4;60;OBRIGATORIO;-1
14102100;1999;1411140;TECC (COMPUTA??O E M?SICA);4;60;OPCIONAL;-1
14102100;1999;1411142;TECC (EMPREEND. DE INFORM?TICA);4;60;OPCIONAL;-1
14102100;1999;1411148;TECC (L?GICA APLICADA ? COMPUTA??O);4;60;OBRIGATORIO;-1
14102100;1999;1411154;TECC (ENGENHARIA DO CONHECIMENTO);4;60;COMPLEMENTAR;-1
14102100;1999;1411156;TECC (INTERCONEXAO DE REDES);4;60;OBRIGATORIO;-1
14102100;1999;1411157;TECC (LABORAT?RIO DE PROGRAMA??O I);4;60;OBRIGATORIO;-1
14102100;1999;1411158;TECC ( TEORIA DAS FILAS E SIM DIGITAL );4;60;COMPLEMENTAR;-1
14102100;1999;1411159;TECC ( LAB DE PROGRAM  II);4;60;OBRIGATORIO;-1
14102100;1999;1411162;TECC (PARADIGMAS DE LING DE PROGRAM);4;60;OBRIGATORIO;-1
14102100;1999;1411163;TECC (LAB DE ESTRUTURA DE DADOS);4;60;OBRIGATORIO;-1
14102100;1999;1411165;TECC (GERENCIA DA INFORMACAO);4;60;OBRIGATORIO;-1
14102100;1999;1411167;PROGRAMA??O I;4;60;OBRIGATORIO;1
14102100;1999;1411168;PROGRAMA??O II;4;60;OBRIGATORIO;2
14102100;1999;1411169;PARADIGMAS DE LING. DE PROGRAMA??O;2;30;OBRIGATORIO;4
14102100;1999;1411170;TEORIA DOS GRAFOS;2;30;OBRIGATORIO;2
14102100;1999;1411171;TEORIA DA COMPUTA??O;4;60;OBRIGATORIO;3
14102100;1999;1411172;ESTRUTURAS DE DADOS E ALGORITMOS;4;60;OBRIGATORIO;3
14102100;1999;1411173;L?GICA MATEM?TICA;4;60;OBRIGATORIO;4
14102100;1999;1411174;INTRODU??O ? COMPUTA??O;4;60;OBRIGATORIO;1
14102100;1999;1411175;ORG.E ARQUITETURA DE COMPUTADORES I;4;60;OBRIGATORIO;4
14102100;1999;1411176;GER?NCIA DA INFORMA??O;4;60;OBRIGATORIO;3
14102100;1999;1411177;ENGENHARIA DE SOFTWARE I;4;60;OBRIGATORIO;4
14102100;1999;1411178;SISTEMAS DE INFORMA??O I;4;60;OBRIGATORIO;4
14102100;1999;1411179;LAB.DE ESTRUTURAS DE DADOS E ALGORITMOS;4;60;OBRIGATORIO;3
14102100;1999;1411180;LABORAT?RIO DE PROGRAMA??O I;4;60;OBRIGATORIO;1
14102100;1999;1411181;LABORAT?RIO DE PROGRAMA??O II;4;60;OBRIGATORIO;2
14102100;1999;1411182;LAB.DE ORG.E ARQUITETURA DE COMPUTADORES;4;60;OBRIGATORIO;4
14102100;1999;1411183;LABORAT?RIO DE ENGENHARIA DE SOFTWARE;2;30;OBRIGATORIO;5
14102100;1999;1411184;LAB.DE INTERCON.DE REDES DE COMPUTADORES;2;30;OBRIGATORIO;6
14102100;1999;1411185;PROJETO EM COMPUTA??O I;4;60;OBRIGATORIO;7
14102100;1999;1411186;PROJETO EM COMPUTA??O II;6;90;OBRIGATORIO;8
14102100;1999;1411187;AN?LISE E T?CNICA DE ALGORITMOS;4;60;COMPLEMENTAR;5
14102100;1999;1411188;M?TODOS E SOFTWARE NUM?RICOS;4;60;COMPLEMENTAR;7
14102100;1999;1411189;COMPILADORES;4;60;COMPLEMENTAR;5
14102100;1999;1411190;REDES DE COMPUTADORES;4;60;COMPLEMENTAR;5
14102100;1999;1411191;INTERCONEX?O DE REDES DE COMPUTADORES;2;30;COMPLEMENTAR;6
14102100;1999;1411192;SISTEMAS OPERACIONAIS;4;60;COMPLEMENTAR;6
14102100;1999;1411193;BANCO DE DADOS I;4;60;COMPLEMENTAR;5
14102100;1999;1411194;BANCO DE DADOS II;4;60;COMPLEMENTAR;6
14102100;1999;1411195;SISTEMAS DE INFORMA??O II;4;60;COMPLEMENTAR;5
14102100;1999;1411196;INTELIGENCIA ARTIFICIAL I;4;60;COMPLEMENTAR;6
14102100;1999;1411197;AVAL.DE DESEMPENHO DE SISTEMAS DISCRETOS;4;60;COMPLEMENTAR;7
14102100;1999;1411198;ADM.DE SIST.GERENC.DE BANCO DE DADOS;4;60;OPCIONAL;-1
14102100;1999;1411199;AVAL.DE DESEMP. DE REDES DE COMPUTADORES;4;60;OPCIONAL;-1
14102100;1999;1411200;COMPUTA??O GR?FICA;4;60;OPCIONAL;-1
14102100;1999;1411201;EMPREENDEDORISMO;4;60;OPCIONAL;-1
14102100;1999;1411202;ENGENHARIA DE SOFTWARE II;4;60;OPCIONAL;-1
14102100;1999;1411203;EST?GIO INTEGRADO;10;300;OPCIONAL;-1
14102100;1999;1411204;GERENCIA DE REDES DE COMPUTADORES;4;60;OPCIONAL;-1
14102100;1999;1411205;HARDWARE E SOFTWARE CODESIGN;4;60;OPCIONAL;-1
14102100;1999;1411206;HIST?RIA DA COMPUTA??O;2;30;OPCIONAL;-1
14102100;1999;1411207;INFORM?TICA NA EDUCA??O;4;60;OPCIONAL;-1
14102100;1999;1411208;INTELIG?NCIA ARTIFICIAL II;4;60;OPCIONAL;-1
14102100;1999;1411209;INTERFACE HOMEM-M?QUINA;4;60;OPCIONAL;-1
14102100;1999;1411210;MARKETING PARA INFORM?TICA;4;60;OPCIONAL;-1
14102100;1999;1411211;M?TODOS AVAN?ADOS DE PROGRAMA??O;4;60;OPCIONAL;-1
14102100;1999;1411212;ORGAN. E ARQUITETURA DE COMPUTADORES II;4;60;OPCIONAL;-1
14102100;1999;1411213;OTIMIZA??O;4;60;OPCIONAL;-1
