CODE;MATRICULA;DISCIPLINA;CREDITO;HORAS;PERIODO;ID_CLASS;NOTA;SITUACAO;ESTADO
102210002;1109035;ALGEBRA VETORIAL E GEOMETRIA ANAL?TICA;4;60;2002.2;5;8;APROVADO;NORMAL
102210002;1109103;CALCULO DIFERENCIAL E INTEGRAL I;4;60;2002.2;2;3.3;REPROVADO_POR_NOTA;NORMAL
102210002;1303021;ECONOMIA;4;60;2002.2;4;7;APROVADO;NORMAL
102210002;1307151;LEITURA E PRODUCAO DE TEXTOS;4;60;2002.2;1;8.2;APROVADO;NORMAL
102210002;1411167;PROGRAMA??O I;4;60;2002.2;1;5.7;APROVADO;NORMAL
102210002;1411174;INTRODU??O ? COMPUTA??O;4;60;2002.2;1;9.2;APROVADO;NORMAL
102210002;1411180;LABORAT?RIO DE PROGRAMA??O I;4;60;2002.2;1;7;APROVADO;NORMAL
102210002;1109101;ALGEBRA LINEAR;4;60;2003.1;2;3.9;REPROVADO_POR_NOTA;NORMAL
102210002;1109103;CALCULO DIFERENCIAL E INTEGRAL I;4;60;2003.1;2;3;REPROVADO_POR_NOTA;NORMAL
102210002;1109113;MATEM?TICA DISCRETA;4;60;2003.1;1;-1;TRANCADO;NORMAL
102210002;1305218;METODOLOGIA CIENT?FICA;4;60;2003.1;1;-1;TRANCADO;NORMAL
102210002;1411168;PROGRAMA??O II;4;60;2003.1;1;1.5;REPROVADO_POR_NOTA;NORMAL
102210002;1411170;TEORIA DOS GRAFOS;2;30;2003.1;1;-1;TRANCADO;NORMAL
102210002;1411181;LABORAT?RIO DE PROGRAMA??O II;4;60;2003.1;1;6.1;APROVADO;NORMAL
102210002;1109101;ALGEBRA LINEAR;4;60;2003.2;2;0;REPROVADO_POR_FALTA;NORMAL
102210002;1109103;CALCULO DIFERENCIAL E INTEGRAL I;4;60;2003.2;2;0;REPROVADO_POR_FALTA;NORMAL
102210002;1109113;MATEM?TICA DISCRETA;4;60;2003.2;2;0;REPROVADO_POR_FALTA;NORMAL
102210002;1305218;METODOLOGIA CIENT?FICA;4;60;2003.2;1;0;REPROVADO_POR_FALTA;NORMAL
102210002;1411168;PROGRAMA??O II;4;60;2003.2;1;3.4;REPROVADO_POR_NOTA;NORMAL
102210002;1411170;TEORIA DOS GRAFOS;2;30;2003.2;1;0;REPROVADO_POR_FALTA;NORMAL
102210002;1109113;MATEM?TICA DISCRETA;4;60;2004.1;1;7;APROVADO;NORMAL
102210002;1305020;RELACOES HUMANAS;3;45;2004.1;1;8;APROVADO;NORMAL
102210002;1411168;PROGRAMA??O II;4;60;2004.1;1;3.9;REPROVADO_POR_NOTA;NORMAL
102210002;1411170;TEORIA DOS GRAFOS;2;30;2004.1;1;6.1;APROVADO;NORMAL
102210002;1411210;MARKETING PARA INFORM?TICA;4;60;2004.1;1;7;APROVADO;NORMAL
102210002;1108089;FUNDAMENTOS DE F?SICA CL?SSICA;4;60;2004.2;1;-1;TRANCADO;NORMAL
102210002;1109104;CALCULO DIFERENCIAL E INTEGRAL II;4;60;2004.2;3;-1;TRANCADO;NORMAL
102210002;1301014;ADMINISTRA??O;4;60;2004.2;2;-1;TRANCADO;NORMAL
102210002;1305218;METODOLOGIA CIENT?FICA;4;60;2004.2;1;-1;TRANCADO;NORMAL
102210002;1411168;PROGRAMA??O II;4;60;2004.2;1;-1;TRANCADO;NORMAL
102210002;1411171;TEORIA DA COMPUTA??O;4;60;2004.2;1;-1;TRANCADO;NORMAL
102210002;1411201;EMPREENDEDORISMO;4;60;2004.2;1;-1;TRANCADO;NORMAL
102210002;1108089;FUNDAMENTOS DE F?SICA CL?SSICA;4;60;2005.1;2;5;APROVADO;NORMAL
102210002;1109104;CALCULO DIFERENCIAL E INTEGRAL II;4;60;2005.1;1;5.5;APROVADO;NORMAL
102210002;1411168;PROGRAMA??O II;4;60;2005.1;1;6;APROVADO;NORMAL
102210002;1411171;TEORIA DA COMPUTA??O;4;60;2005.1;1;1.8;REPROVADO_POR_NOTA;NORMAL
102210002;1108090;FUNDAMENTOS DE F?SICA MODERNA;4;60;2005.2;1;5.8;APROVADO;NORMAL
102210002;1114107;PROBABILIDADE E ESTAT?STICA;4;60;2005.2;1;0;REPROVADO_POR_FALTA;NORMAL
102210002;1304055;FUTSAL;2;30;2005.2;1;8;APROVADO;NORMAL
102210002;1411171;TEORIA DA COMPUTA??O;4;60;2005.2;1;5;APROVADO;NORMAL
102210002;1411172;ESTRUTURAS DE DADOS E ALGORITMOS;4;60;2005.2;1;5.1;APROVADO;NORMAL
102210002;1411176;GER?NCIA DA INFORMA??O;4;60;2005.2;1;7.2;APROVADO;NORMAL
102210002;1411179;LAB.DE ESTRUTURAS DE DADOS E ALGORITMOS;4;60;2005.2;1;5.1;APROVADO;NORMAL
102210002;1411259;TECC (GRADES COMPUTACIONAIS);2;30;2005.2;1;10;APROVADO;NORMAL
102210002;1109101;ALGEBRA LINEAR;4;60;2006.1;;5;APROVADO;DISPENSA
102210002;1109103;CALCULO DIFERENCIAL E INTEGRAL I;4;60;2006.1;;5;APROVADO;DISPENSA
102210002;1114107;PROBABILIDADE E ESTAT?STICA;4;60;2006.1;3;5;APROVADO;NORMAL
102210002;1301014;ADMINISTRA??O;4;60;2006.1;2;5.9;APROVADO;NORMAL
102210002;1411169;PARADIGMAS DE LING. DE PROGRAMA??O;2;30;2006.1;1;5.5;APROVADO;NORMAL
102210002;1411173;L?GICA MATEM?TICA;4;60;2006.1;1;7;APROVADO;NORMAL
102210002;1411175;ORG.E ARQUITETURA DE COMPUTADORES I;4;60;2006.1;1;5.1;APROVADO;NORMAL
102210002;1411178;SISTEMAS DE INFORMA??O I;4;60;2006.1;1;7.1;APROVADO;NORMAL
102210002;1411182;LAB.DE ORG.E ARQUITETURA DE COMPUTADORES;4;60;2006.1;2;3.9;REPROVADO_POR_NOTA;NORMAL
