ano_formatura_ensino_medio;termo_estado;idade;genero;estado_civil_alunos;nacionalidade;razao_inatividade;tipo_admissao;termo_admissao;politica_afirmativa;tipo_ensino_medio;codigo_curso;codigo_curricular;alunos_ativos;ex_alunos;alunos_inativos
2001;2009.2;41;masculino;casado;BRASILEIRA;DESCONHECIDO;vestibular;2002.2;A0;PRIVADA;14102100;1999;FALSE;TRUE;FALSE
2002;2007.1;39;masculino;solteiro;BRASILEIRA;DESCONHECIDO;vestibular;2003.1;A0;PRIVADA;14102100;1999;FALSE;TRUE;FALSE
2002;2007.1;40;masculino;solteiro;BRASILEIRA;DESCONHECIDO;vestibular;2003.1;A0;PRIVADA;14102100;1999;FALSE;TRUE;FALSE
2003;2012.1;38;masculino;casado;BRASILEIRA;DESCONHECIDO;vestibular;2004.2;A0;PRIVADA;14102100;1999;FALSE;TRUE;FALSE
2003;2008.2;38;masculino;solteiro;BRASILEIRA;EXPULSAO;vestibular;2005.2;A0;PRIVADA;14102100;1999;FALSE;FALSE;TRUE
2005;2010.1;35;masculino;solteiro;BRASILEIRA;DESCONHECIDO;vestibular;2006.1;A0;PRIVADA;14102100;1999;FALSE;TRUE;FALSE
2005;2010.1;36;masculino;solteiro;BRASILEIRA;DESCONHECIDO;vestibular;2006.1;A0;PRIVADA;14102100;1999;FALSE;TRUE;FALSE
2006;2012.1;35;feminino;solteiro;BRASILEIRA;DESCONHECIDO;vestibular;2007.1;A0;PRIVADA;14102100;1999;FALSE;TRUE;FALSE
2013;2011.1;38;masculino;solteiro;BRASILEIRA;REINGRESSO;vestibular;2007.2;A0;PRIVADA;14102100;1999;FALSE;FALSE;TRUE
2002;2012.1;39;masculino;solteiro;BRASILEIRA;DESCONHECIDO;vestibular;2008.1;A0;PRIVADA;14102100;1999;FALSE;TRUE;FALSE
2007;2012.1;34;masculino;solteiro;BRASILEIRA;DESCONHECIDO;vestibular;2008.1;A0;PRIVADA;14102100;1999;FALSE;TRUE;FALSE
2007;2012.1;35;feminino;solteiro;BRASILEIRA;DESCONHECIDO;vestibular;2008.1;A0;PRIVADA;14102100;1999;FALSE;TRUE;FALSE
2002;2009.2;39;masculino;solteiro;BRASILEIRA;DESCONHECIDO;vestibular;2008.2;A0;PRIVADA;14102100;1999;FALSE;TRUE;FALSE
2016;2012.1;34;masculino;solteiro;BRASILEIRA;DESCONHECIDO;vestibular;2008.2;A0;PRIVADA;14102100;1999;FALSE;TRUE;FALSE
2006;2014.1;33;masculino;solteiro;BRASILEIRA;DESCONHECIDO;vestibular;2008.2;A0;PRIVADA;14102100;1999;FALSE;TRUE;FALSE
