registration;subjectCode;term;classId;credits;grade;status
100110001;1108089;2000.2;0;4;-;Trancado
100110001;1108089;2001.1;0;4;"7,6";Aprovado
100110001;1108090;2001.2;0;4;"8,3";Aprovado
100110001;1109035;2000.1;0;4;"7,5";Aprovado
100110001;1109101;2001.1;0;4;"5,7";Aprovado
100110001;1109103;2000.1;0;4;"8,5";Aprovado
100110001;1109104;2000.2;0;4;"7,9";Aprovado
100110001;1109113;2000.2;0;4;"5,8";Aprovado
100110001;1114107;2001.1;0;4;5;Aprovado
100110001;1114114;2001.2;0;4;"7,4";Aprovado
100110001;1301014;2003.1;2;4;"8,8";Aprovado
100110001;1301061;2003.2;2;4;"8,4";Aprovado
100110001;1303021;2003.2;3;4;"9,3";Aprovado
100110001;1304055;2003.1;4;2;9;Aprovado
100110001;1305218;2000.2;0;4;"7,8";Aprovado
100110001;1305219;2002.2;1;4;7;Aprovado
100110001;1305220;2002.1;1;2;9;Aprovado
100110001;1307151;2000.1;0;4;9;Aprovado
100110001;1411167;2000.1;0;4;"7,8";Aprovado
100110001;1411168;2001.1;0;4;"7,9";Aprovado
100110001;1411169;2002.1;1;2;"8,9";Aprovado
100110001;1411170;2000.2;0;2;"8,1";Aprovado
100110001;1411171;2001.1;0;4;"7,7";Aprovado
100110001;1411172;2001.2;0;4;"7,2";Aprovado
100110001;1411173;2001.2;0;4;"9,3";Aprovado
100110001;1411174;2000.1;0;4;"7,8";Aprovado
100110001;1411175;2002.1;1;4;"7,3";Aprovado
100110001;1411176;2001.1;0;4;"8,3";Aprovado
100110001;1411177;2001.2;0;4;"8,3";Aprovado
100110001;1411178;2001.2;0;4;"7,8";Aprovado
100110001;1411179;2001.2;0;4;"7,8";Aprovado
100110001;1411180;2000.1;0;4;"7,4";Aprovado
100110001;1411181;2000.2;0;4;"7,1";Aprovado
100110001;1411182;2002.1;2;4;9;Aprovado
100110001;1411183;2002.2;1;2;9;Aprovado
100110001;1411184;2003.1;1;2;"7,2";Aprovado
100110001;1411185;2003.1;1;4;"7,9";Aprovado
100110001;1411186;2003.2;1;6;"9,4";Aprovado
100110001;1411187;2002.1;1;4;"5,3";Aprovado
100110001;1411188;2003.2;1;4;"7,8";Aprovado
100110001;1411189;2003.1;1;4;"7,7";Aprovado
100110001;1411190;2002.2;1;4;"5,5";Aprovado
100110001;1411191;2003.1;1;2;"7,2";Aprovado
100110001;1411192;2002.2;1;4;6;Aprovado
100110001;1411193;2002.1;1;4;7;Aprovado
100110001;1411194;2002.2;1;4;"7,8";Aprovado
100110001;1411195;2002.1;1;4;"7,4";Aprovado
100110001;1411196;2003.2;1;4;"7,6";Aprovado
100110001;1411197;2002.1;1;4;"8,6";Aprovado
100110001;1411201;2003.2;1;4;8;Aprovado
100110001;1411203;2004.1;0;10;"8,5";Aprovado
100110001;1411206;2003.2;1;2;"8,7";Aprovado
100110001;1411211;2002.2;1;4;7;Aprovado
100110001;1411221;2002.2;1;4;-;Trancado
100110001;1411238;2003.2;1;0;"8,5";Aprovado
100110001;1411242;2003.1;1;4;"8,7";Aprovado
100110001;1411244;2003.2;1;4;"7,5";Aprovado
100110002;1108089;2000.2;0;4;"8,7";Aprovado
100110002;1108090;2001.1;0;4;"9,2";Aprovado
100110002;1109035;2000.1;0;4;"9,8";Aprovado
100110002;1109101;2001.1;0;4;10;Aprovado
100110002;1109103;2000.1;0;4;"9,2";Aprovado
100110002;1109104;2000.2;0;4;"9,4";Aprovado
100110002;1109113;2000.2;0;4;"9,3";Aprovado
100110002;1114107;2001.1;0;4;9;Aprovado
100110002;1114114;2002.1;1;4;8;Aprovado
100110002;1301014;2003.2;5;4;"8,2";Aprovado
100110002;1304122;2000.2;0;2;9;Aprovado
100110002;1305218;2000.2;0;4;"9,5";Aprovado
100110002;1305219;2002.1;1;4;10;Aprovado
100110002;1305220;2002.1;1;2;9;Aprovado
100110002;1305253;2005.1;0;0;-;Aprovado
100110002;1307151;2000.1;0;4;"7,3";Aprovado
100110002;1411167;2000.1;0;4;"9,2";Aprovado
100110002;1411168;2000.2;0;4;7;Aprovado
100110002;1411169;2001.2;0;2;"8,7";Aprovado
100110002;1411170;2000.2;0;2;"9,4";Aprovado
100110002;1411171;2001.1;0;4;"9,6";Aprovado
100110002;1411172;2001.1;0;4;"9,6";Aprovado
100110002;1411173;2001.2;0;4;"8,9";Aprovado
100110002;1411174;2000.1;0;4;"6,9";Aprovado
100110002;1411175;2001.2;0;4;"8,2";Aprovado
100110002;1411176;2001.1;0;4;"8,3";Aprovado
100110002;1411177;2001.2;0;4;"7,7";Aprovado
100110002;1411178;2001.2;0;4;"9,5";Aprovado
100110002;1411179;2001.1;0;4;"9,6";Aprovado
100110002;1411180;2000.1;0;4;9;Aprovado
100110002;1411181;2000.2;0;4;"8,3";Aprovado
100110002;1411182;2001.2;0;4;10;Aprovado
100110002;1411183;2002.2;1;2;"9,3";Aprovado
100110002;1411184;2002.2;1;2;"8,6";Aprovado
100110002;1411185;2003.1;1;4;"9,3";Aprovado
100110002;1411186;2003.2;0;6;"6,8";Aprovado
100110002;1411187;2002.2;1;4;"9,3";Aprovado
100110002;1411188;2003.2;0;4;"7,8";Aprovado
100110002;1411189;2003.1;1;4;9;Aprovado
100110002;1411190;2002.1;1;4;"9,3";Aprovado
100110002;1411191;2002.2;1;2;"8,6";Aprovado
100110002;1411192;2002.2;1;4;"7,6";Aprovado
100110002;1411193;2002.1;1;4;"8,5";Aprovado
100110002;1411194;2002.2;1;4;"8,8";Aprovado
100110002;1411195;2002.1;1;4;"8,8";Aprovado
100110002;1411196;2003.1;1;4;"8,1";Aprovado
100110002;1411197;2003.1;1;4;"9,4";Aprovado
100110002;1411203;2005.2;1;10;"7,3";Aprovado
100110002;1411211;2001.2;0;4;9;Aprovado
100110002;1411212;2003.2;0;4;10;Aprovado
100110002;1411222;2003.1;1;4;"8,5";Aprovado
