Periodo de ingresso;Ingressantes;Evadidos P1;Evasao P1;Evadidos P2;Evasao P2;Evasao Cum.;Evadidos P3;Evasao P3;Evasao Cum.;Evadidos P4;Evasao P4;Evasao Cum.;Periodo de ingresso;Ingressantes;Evadidos P1;Evasao P1;Evadidos P2;Evasao P2;Evasao Cum.;Evadidos P3;Evasao P3;Evasao Cum.;Evadidos P4;Evasao P4;Evasao Cum.
2011.1;79;4;"5,06%";7;"9,33%";"13,92%";2;"2,94%";"16,46%";6;"8,83%";"24,05%";2018.1;93;0;"0,00%";3;"3,23%";"3,23%";5;"5,56%";"8,60%";3;"3,34%";"11,83%"
2011.2;87;2;"2,30%";8;"9,41%";"11,49%";15;"19,48%";"28,74%";7;"9,11%";"36,78%";2018.2;88;3;"3,41%";3;"3,53%";"6,82%";4;"4,88%";"11,36%";7;"8,54%";"19,32%"
2012.1;88;3;"3,41%";13;"15,29%";"18,18%";8;"11,11%";"27,27%";6;"8,35%";"34,09%";2019.1;95;5;"5,26%";3;"3,33%";"8,42%";3;"3,45%";"11,58%";2;"2,30%";"13,68%"
2012.2;86;3;"3,49%";9;"10,84%";"13,95%";4;"5,41%";"18,60%";5;"6,76%";"24,42%";2019.2;102;0;"0,00%";3;"2,94%";"2,94%";4;"4,04%";"6,86%";1;"1,01%";"7,84%"
2013.1;81;1;"1,23%";7;"8,75%";"9,88%";5;"6,85%";"16,05%";10;"13,71%";"28,40%";2020.1;99;1;"1,01%";7;"7,14%";"8,08%";4;"4,40%";"12,12%";0;"0,00%";"12,12%"
2013.2;93;5;"5,38%";23;"26,14%";"30,11%";6;"9,23%";"36,56%";8;"12,33%";"45,16%";2020.2;87;1;"1,15%";4;"4,65%";"5,75%";0;"0,00%";"5,75%";1;"1,22%";"6,90%"
2014.1;83;2;"2,41%";11;"13,58%";"15,66%";8;"11,43%";"25,30%";7;"10,02%";"33,73%";2021.1;90;2;"2,22%";4;"4,55%";"6,67%";2;"2,38%";"8,89%";3;"3,57%";"12,22%"
2014.2;75;1;"1,33%";11;"14,86%";"16,00%";14;"22,22%";"34,67%";6;"9,56%";"42,67%";2021.2;90;0;"0,00%";7;"7,78%";"7,78%";9;"10,84%";"17,78%";2;"2,41%";"20,00%"
2015.1;94;6;"6,38%";12;"13,64%";"19,15%";4;"5,26%";"23,40%";4;"5,27%";"27,66%";2022.1;87;0;"0,00%";5;"5,75%";"5,75%";5;"6,10%";"11,49%";3;"3,66%";"14,94%"
2015.2;88;5;"5,68%";8;"9,64%";"14,77%";4;"5,33%";"19,32%";10;"13,34%";"30,68%";2022.2;87;3;"3,45%";7;"8,33%";"11,49%";1;"1,30%";"12,64%";3;"3,90%";"16,09%"
