Curriculo Entrada;Categoria;Ingressantes;Evadidos;Taxa;Periodo
1999;18-20 anos;569;19;3,34;1
1999;21-23 anos;92;2;2,17;1
1999;24-26 anos;54;3;5,56;1
1999;27 anos ou mais;42;3;7,14;1
1999;Até 17 anos;97;5;5,15;1
2017;18-20 anos;659;9;1,37;1
2017;21-23 anos;117;3;2,56;1
2017;24-26 anos;46;0;0,00;1
2017;27 anos ou mais;49;2;4,08;1
2017;Até 17 anos;47;1;2,13;1
1999;18-20 anos;569;81;14,24;2
1999;21-23 anos;92;13;14,13;2
1999;24-26 anos;54;19;35,19;2
1999;27 anos ou mais;42;19;45,24;2
1999;Até 17 anos;97;9;9,28;2
2017;18-20 anos;659;33;5,01;2
2017;21-23 anos;117;11;9,40;2
2017;24-26 anos;46;6;13,04;2
2017;27 anos ou mais;49;8;16,33;2
2017;Até 17 anos;47;3;6,38;2
1999;18-20 anos;569;125;21,97;3
1999;21-23 anos;92;19;20,65;3
1999;24-26 anos;54;23;42,59;3
1999;27 anos ou mais;42;26;61,90;3
1999;Até 17 anos;97;18;18,56;3
2017;18-20 anos;659;52;7,89;3
2017;21-23 anos;117;16;13,68;3
2017;24-26 anos;46;11;23,91;3
2017;27 anos ou mais;49;13;26,53;3
2017;Até 17 anos;47;6;12,77;3
1999;18-20 anos;569;176;30,93;4
1999;21-23 anos;92;24;26,09;4
1999;24-26 anos;54;24;44,44;4
1999;27 anos ou mais;42;31;73,81;4
1999;Até 17 anos;97;25;25,77;4
2017;18-20 anos;659;70;10,62;4
2017;21-23 anos;117;16;13,68;4
2017;24-26 anos;46;13;28,26;4
2017;27 anos ou mais;49;16;32,65;4
2017;Até 17 anos;47;8;17,02;4
