Curriculo Entrada;Categoria;Ingressantes;Evadidos;Taxa;Periodo
1999;2011.1;4;4;100;1
1999;2011.2;9;2;"22,22";1
1999;2012.1;13;3;"23,08";1
1999;2012.2;37;3;"8,11";1
1999;2013.1;31;1;"3,23";1
1999;2013.2;34;5;"14,71";1
1999;2014.1;53;2;"3,77";1
1999;2014.2;55;1;"1,82";1
1999;2015.1;65;6;"9,23";1
1999;2015.2;68;5;"7,35";1
1999;2018.1;39;0;0;1
1999;2018.2;33;0;0;1
1999;2019.1;43;0;0;1
1999;2019.2;54;0;0;1
1999;2020.1;45;0;0;1
1999;2020.2;23;0;0;1
1999;2021.1;9;0;0;1
1999;2021.2;4;0;0;1
1999;2022.1;10;0;0;1
1999;2022.2;4;0;0;1
2017;2018.2;6;3;50;1
2017;2019.1;13;5;"38,46";1
2017;2019.2;10;0;0;1
2017;2020.1;20;1;5;1
2017;2020.2;25;1;4;1
2017;2021.1;15;2;"13,33";1
2017;2021.2;18;0;0;1
2017;2022.1;49;0;0;1
2017;2022.2;61;3;"4,92";1
1999;2011.1;4;4;100;2
1999;2011.2;9;9;100;2
1999;2012.1;13;11;"84,62";2
1999;2012.2;37;16;"43,24";2
1999;2013.1;31;10;"32,26";2
1999;2013.2;34;12;"35,29";2
1999;2014.1;53;25;"47,17";2
1999;2014.2;55;12;"21,82";2
1999;2015.1;65;17;"26,15";2
1999;2015.2;68;17;25;2
1999;2018.1;39;0;0;2
1999;2018.2;33;0;0;2
1999;2019.1;43;0;0;2
1999;2019.2;54;0;0;2
1999;2020.1;45;0;0;2
1999;2020.2;23;0;0;2
1999;2021.1;9;0;0;2
1999;2021.2;4;0;0;2
1999;2022.1;10;0;0;2
1999;2022.2;4;0;0;2
2017;2018.2;6;6;100;2
2017;2019.1;13;8;"61,54";2
2017;2019.2;10;3;30;2
2017;2020.1;20;4;20;2
2017;2020.2;25;8;32;2
2017;2021.1;15;6;40;2
2017;2021.2;18;4;"22,22";2
2017;2022.1;49;7;"14,29";2
2017;2022.2;61;8;"13,11";2
1999;2011.1;4;4;100;3
1999;2011.2;9;9;100;3
1999;2012.1;13;13;100;3
1999;2012.2;37;31;"83,78";3
1999;2013.1;31;18;"58,06";3
1999;2013.2;34;16;"47,06";3
1999;2014.1;53;30;"56,6";3
1999;2014.2;55;18;"32,73";3
1999;2015.1;65;25;"38,46";3
1999;2015.2;68;31;"45,59";3
1999;2018.1;39;0;0;3
1999;2018.2;33;0;0;3
1999;2019.1;43;0;0;3
1999;2019.2;54;0;0;3
1999;2020.1;45;0;0;3
1999;2020.2;23;0;0;3
1999;2021.1;9;0;0;3
1999;2021.2;4;0;0;3
1999;2022.1;10;0;0;3
1999;2022.2;4;0;0;3
2017;2018.2;6;6;100;3
2017;2019.1;13;13;100;3
2017;2019.2;10;7;70;3
2017;2020.1;20;7;35;3
2017;2020.2;25;12;48;3
2017;2021.1;15;10;"66,67";3
2017;2021.2;18;4;"22,22";3
2017;2022.1;49;9;"18,37";3
2017;2022.2;61;17;"27,87";3
1999;2011.1;4;4;100;4
1999;2011.2;9;9;100;4
1999;2012.1;13;13;100;4
1999;2012.2;37;37;100;4
1999;2013.1;31;25;"80,65";4
1999;2013.2;34;22;"64,71";4
1999;2014.1;53;35;"66,04";4
1999;2014.2;55;28;"50,91";4
1999;2015.1;65;33;"50,77";4
1999;2015.2;68;38;"55,88";4
1999;2018.1;39;0;0;4
1999;2018.2;33;0;0;4
1999;2019.1;43;0;0;4
1999;2019.2;54;0;0;4
1999;2020.1;45;0;0;4
1999;2020.2;23;0;0;4
1999;2021.1;9;0;0;4
1999;2021.2;4;0;0;4
1999;2022.1;10;0;0;4
1999;2022.2;4;0;0;4
2017;2018.2;6;6;100;4
2017;2019.1;13;13;100;4
2017;2019.2;10;10;100;4
2017;2020.1;20;14;70;4
2017;2020.2;25;14;56;4
2017;2021.1;15;11;"73,33";4
2017;2021.2;18;4;"22,22";4
2017;2022.1;49;10;"20,41";4
2017;2022.2;61;20;"32,79";4
