Curriculo Entrada;Categoria;Ingressantes;Evadidos;Taxa;Periodo
1999;FEMININO;136;6;"4,41";1
1999;MASCULINO;718;26;"3,62";1
2017;FEMININO;168;2;"1,19";1
2017;MASCULINO;750;13;"1,73";1
1999;FEMININO;136;26;"19,12";2
1999;MASCULINO;718;115;"16,02";2
2017;FEMININO;168;11;"6,55";2
2017;MASCULINO;750;50;"6,67";2
1999;FEMININO;136;38;"27,94";3
1999;MASCULINO;718;173;"24,09";3
2017;FEMININO;168;18;"10,71";3
2017;MASCULINO;750;80;"10,67";3
1999;FEMININO;136;46;"33,82";4
1999;MASCULINO;718;234;"32,59";4
2017;FEMININO;168;25;"14,88";4
2017;MASCULINO;750;98;"13,07";4
