Curriculo Entrada;Categoria;Ingressantes;Evadidos;Taxa;Periodo
1999;CANCELADO 3 REPROV MESMA DISCIPLINA;148;0;0;1
1999;CANCELADO NOVO INGRESSO OUTRO CURSO;17;0;0;1
1999;CANCELADO REPROVOU TODAS POR FALTAS;119;0;0;1
1999;CANCELAMENTO DE MATRICULA;2;0;0;1
1999;CANCELAMENTO P SOLICITACAO ALUNO;77;30;"38,96";1
1999;CANCELAMENTO POR ABANDONO;157;2;"1,27";1
1999;GRADUADO;332;0;0;1
1999;REGULAR;2;0;0;1
2017;CANCELADO 3 REPROV MESMA DISCIPLINA;37;0;0;1
2017;CANCELADO NOVO INGRESSO OUTRO CURSO;6;0;0;1
2017;CANCELADO REPROVOU TODAS POR FALTAS;36;0;0;1
2017;CANCELAMENTO DE MATRICULA;2;0;0;1
2017;CANCELAMENTO P SOLICITACAO ALUNO;41;15;"36,59";1
2017;CANCELAMENTO POR ABANDONO;141;0;0;1
2017;GRADUADO;216;0;0;1
2017;REGULAR;438;0;0;1
2017;TRANSFERIDO PARA OUTRA IES;1;0;0;1
1999;CANCELADO 3 REPROV MESMA DISCIPLINA;148;0;0;2
1999;CANCELADO NOVO INGRESSO OUTRO CURSO;17;8;"47,06";2
1999;CANCELADO REPROVOU TODAS POR FALTAS;119;47;"39,5";2
1999;CANCELAMENTO DE MATRICULA;2;0;0;2
1999;CANCELAMENTO P SOLICITACAO ALUNO;77;42;"54,55";2
1999;CANCELAMENTO POR ABANDONO;157;44;"28,03";2
1999;GRADUADO;332;0;0;2
1999;REGULAR;2;0;0;2
2017;CANCELADO 3 REPROV MESMA DISCIPLINA;37;0;0;2
2017;CANCELADO NOVO INGRESSO OUTRO CURSO;6;0;0;2
2017;CANCELADO REPROVOU TODAS POR FALTAS;36;13;"36,11";2
2017;CANCELAMENTO DE MATRICULA;2;0;0;2
2017;CANCELAMENTO P SOLICITACAO ALUNO;41;22;"53,66";2
2017;CANCELAMENTO POR ABANDONO;141;26;"18,44";2
2017;GRADUADO;216;0;0;2
2017;REGULAR;438;0;0;2
2017;TRANSFERIDO PARA OUTRA IES;1;0;0;2
1999;CANCELADO 3 REPROV MESMA DISCIPLINA;148;2;"1,35";3
1999;CANCELADO NOVO INGRESSO OUTRO CURSO;17;9;"52,94";3
1999;CANCELADO REPROVOU TODAS POR FALTAS;119;80;"67,23";3
1999;CANCELAMENTO DE MATRICULA;2;0;0;3
1999;CANCELAMENTO P SOLICITACAO ALUNO;77;53;"68,83";3
1999;CANCELAMENTO POR ABANDONO;157;67;"42,68";3
1999;GRADUADO;332;0;0;3
1999;REGULAR;2;0;0;3
2017;CANCELADO 3 REPROV MESMA DISCIPLINA;37;0;0;3
2017;CANCELADO NOVO INGRESSO OUTRO CURSO;6;0;0;3
2017;CANCELADO REPROVOU TODAS POR FALTAS;36;24;"66,67";3
2017;CANCELAMENTO DE MATRICULA;2;0;0;3
2017;CANCELAMENTO P SOLICITACAO ALUNO;41;25;"60,98";3
2017;CANCELAMENTO POR ABANDONO;141;49;"34,75";3
2017;GRADUADO;216;0;0;3
2017;REGULAR;438;0;0;3
2017;TRANSFERIDO PARA OUTRA IES;1;0;0;3
1999;CANCELADO 3 REPROV MESMA DISCIPLINA;148;27;"18,24";4
1999;CANCELADO NOVO INGRESSO OUTRO CURSO;17;10;"58,82";4
1999;CANCELADO REPROVOU TODAS POR FALTAS;119;95;"79,83";4
1999;CANCELAMENTO DE MATRICULA;2;0;0;4
1999;CANCELAMENTO P SOLICITACAO ALUNO;77;64;"83,12";4
1999;CANCELAMENTO POR ABANDONO;157;84;"53,5";4
1999;GRADUADO;332;0;0;4
1999;REGULAR;2;0;0;4
2017;CANCELADO 3 REPROV MESMA DISCIPLINA;37;6;"16,22";4
2017;CANCELADO NOVO INGRESSO OUTRO CURSO;6;1;"16,67";4
2017;CANCELADO REPROVOU TODAS POR FALTAS;36;25;"69,44";4
2017;CANCELAMENTO DE MATRICULA;2;1;50;4
2017;CANCELAMENTO P SOLICITACAO ALUNO;41;31;"75,61";4
2017;CANCELAMENTO POR ABANDONO;141;59;"41,84";4
2017;GRADUADO;216;0;0;4
2017;REGULAR;438;0;0;4
2017;TRANSFERIDO PARA OUTRA IES;1;0;0;4
