Curriculo Entrada;Periodo de Ingresso;Sexo;Ingressantes;Evadidos;Taxa
1999;20111;FEMININO;14;0;0,00
1999;20111;MASCULINO;65;6;9,23
1999;20112;FEMININO;11;3;27,27
1999;20112;MASCULINO;76;4;5,26
1999;20121;FEMININO;12;0;0,00
1999;20121;MASCULINO;76;6;7,89
1999;20122;FEMININO;18;0;0,00
1999;20122;MASCULINO;68;5;7,35
1999;20131;FEMININO;13;2;15,38
1999;20131;MASCULINO;68;8;11,76
1999;20132;FEMININO;14;1;7,14
1999;20132;MASCULINO;79;7;8,86
1999;20141;FEMININO;13;1;7,69
1999;20141;MASCULINO;70;6;8,57
1999;20142;FEMININO;11;0;0,00
1999;20142;MASCULINO;64;6;9,38
1999;20151;FEMININO;13;0;0,00
1999;20151;MASCULINO;81;4;4,94
1999;20152;FEMININO;17;1;5,88
1999;20152;MASCULINO;71;9;12,68
2017;20181;FEMININO;11;0;0,00
2017;20181;MASCULINO;82;3;3,66
2017;20182;FEMININO;10;3;30,00
2017;20182;MASCULINO;78;4;5,13
2017;20191;FEMININO;13;0;0,00
2017;20191;MASCULINO;82;2;2,44
2017;20192;FEMININO;20;1;5,00
2017;20192;MASCULINO;82;0;0,00
2017;20201;FEMININO;16;0;0,00
2017;20201;MASCULINO;83;0;0,00
2017;20202;FEMININO;15;0;0,00
2017;20202;MASCULINO;72;1;1,39
2017;20211;FEMININO;18;2;11,11
2017;20211;MASCULINO;72;1;1,39
2017;20212;FEMININO;23;1;4,35
2017;20212;MASCULINO;67;1;1,49
2017;20221;FEMININO;24;0;0,00
2017;20221;MASCULINO;63;3;4,76
2017;20222;FEMININO;18;0;0,00
2017;20222;MASCULINO;69;3;4,35
