Curriculo Entrada;Periodo de Ingresso;Sexo;Ingressantes;Evadidos;Taxa
1999;20111;FEMININO;14;2;14,29
1999;20111;MASCULINO;65;5;7,69
1999;20112;FEMININO;11;1;9,09
1999;20112;MASCULINO;76;7;9,21
1999;20121;FEMININO;12;1;8,33
1999;20121;MASCULINO;76;12;15,79
1999;20122;FEMININO;18;2;11,11
1999;20122;MASCULINO;68;7;10,29
1999;20131;FEMININO;13;1;7,69
1999;20131;MASCULINO;68;6;8,82
1999;20132;FEMININO;14;3;21,43
1999;20132;MASCULINO;79;20;25,32
1999;20141;FEMININO;13;2;15,38
1999;20141;MASCULINO;70;9;12,86
1999;20142;FEMININO;11;2;18,18
1999;20142;MASCULINO;64;9;14,06
1999;20151;FEMININO;13;4;30,77
1999;20151;MASCULINO;81;8;9,88
1999;20152;FEMININO;17;2;11,76
1999;20152;MASCULINO;71;6;8,45
2017;20181;FEMININO;11;2;18,18
2017;20181;MASCULINO;82;1;1,22
2017;20182;FEMININO;10;0;0,00
2017;20182;MASCULINO;78;3;3,85
2017;20191;FEMININO;13;0;0,00
2017;20191;MASCULINO;82;3;3,66
2017;20192;FEMININO;20;1;5,00
2017;20192;MASCULINO;82;2;2,44
2017;20201;FEMININO;16;0;0,00
2017;20201;MASCULINO;83;7;8,43
2017;20202;FEMININO;15;0;0,00
2017;20202;MASCULINO;72;4;5,56
2017;20211;FEMININO;18;1;5,56
2017;20211;MASCULINO;72;3;4,17
2017;20212;FEMININO;23;1;4,35
2017;20212;MASCULINO;67;6;8,96
2017;20221;FEMININO;24;2;8,33
2017;20221;MASCULINO;63;3;4,76
2017;20222;FEMININO;18;2;11,11
2017;20222;MASCULINO;69;5;7,25
