Curriculo Entrada;Periodo de Ingresso;Ingressantes;Evadidos;Taxa;;;;;;;;;;;;
1999;20111;79;4;5.06;;;;;;;;;;;;
1999;20112;87;2;2.3;;;;;;;;;;;;
1999;20121;88;3;3.41;;;;;;;;;;;;
1999;20122;86;3;3.49;;;;;;;;;;;;
1999;20131;81;1;1.23;;;;;;;;;;;;
1999;20132;93;1;5.38;;;;;;;;;;;;
1999;20141;83;2;2.41;;;;;;;;;;;;
1999;20142;75;1;1.33;;;;;;;;;;;;
1999;20151;94;6;6.38;;;;;;;;;;;;
1999;20152;88;5;5.68;;;;;;;;;;;;
2017;20181;93;0;0;;;;;;;;;;;;
2017;20182;88;3;3.41;;;;;;;;;;;;
2017;20191;95;5;5.26;;;;;;;;;;;;
2017;20192;102;0;0;;;;;;;;;;;;
2017;20201;99;1;1.01;;;;;;;;;;;;
2017;20202;87;1;1.15;;;;;;;;;;;;
2017;20211;90;2;2.22;;;;;;;;;;;;
2017;20212;90;0;0;;;;;;;;;;;;
2017;20221;87;0;0;;;;;;;;;;;;
2017;20222;87;3;3.45;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
