Curriculo Entrada;Periodo de Ingresso;Ingressantes;Evadidos;Taxa;
1999;20111;79;6;7.59;
1999;20112;87;9;8.05;
1999;20121;88;6;6.82;
1999;20122;86;5;5.81;
1999;20131;81;10;12.4;
1999;20132;93;8;8.6;
1999;20141;83;7;8.43;
1999;20142;75;6;8;
1999;20151;94;4;4.26;
1999;20152;88;10;11.4;
2017;20181;93;3;3.23;
2017;20182;88;7;7.95;
2017;20191;95;2;2.11;
2017;20192;102;1;0.98;
2017;20201;99;0;0;
2017;20202;87;1;1.15;
2017;20211;90;3;3.33;
2017;20212;90;2;2.22;
2017;20221;87;3;3.45;
2017;20222;87;3;3.45;
;;;;;
;;;;;
;;;;;
