Curriculo,Disciplina,Estudantes,Aprovados,Sem_aprovacao,Taxa_aprovacao,Taxa_reprovacao
1999,Cálculo Diferencial e Integral I,849.0,330.0,433.0,43.25,56.75
2017,Cálculo Diferencial e Integral I,735.0,390.0,80.0,82.98,17.019999999999996
1999,Cálculo Diferencial e Integral II,484.0,280.0,152.0,64.81,35.19
2017,Cálculo Diferencial e Integral II,515.0,291.0,34.0,89.54,10.459999999999994
1999,Programação I,851.0,553.0,264.0,67.69,32.31
2017,Programação I,913.0,599.0,136.0,81.5,18.5
1999,Programação II,654.0,448.0,191.0,70.11,29.89
2017,Programação II,723.0,533.0,56.0,90.49,9.510000000000005
1999,Estruturas de Dados,473.0,350.0,111.0,75.92,24.08
2017,Estruturas de Dados,559.0,421.0,53.0,88.82,11.180000000000007
1999,Laboratório de Estruturas de Dados,471.0,348.0,112.0,75.65,24.349999999999994
2017,Laboratório de Estruturas de Dados,559.0,421.0,54.0,88.63,11.370000000000005
1999,Teoria da Computação,437.0,335.0,90.0,78.82,21.180000000000007
2017,Teoria da Computação,337.0,251.0,30.0,89.32,10.680000000000007
1999,Álgebra Vetorial e Geometria Analítica,,,,47.71,52.29
1999,Fundamentos de Física Clássica,402.0,307.0,95.0,76.37,23.629999999999995
1999,Fundamentos de Física Moderna,268.0,230.0,38.0,85.82,14.180000000000007
1999,Probabilidade e Estatística,,,,80.32,19.680000000000007
2017,Fundamentos de Matemática para CC I (FMCC I),,,,83.59,16.409999999999997
2017,Introdução à Probabilidade,,,,90.32,9.680000000000007
2017,Estatística Aplicada,,,,98.44,1.5600000000000023
