Periodo;Curriculo Entrada;Periodo de Ingresso;Ingressantes;Evadidos;Taxa
Periodo_1;1999;20111;79;4;5,06
Periodo_1;1999;20112;87;2;2,30
Periodo_1;1999;20121;88;3;3,41
Periodo_1;1999;20122;86;3;3,49
Periodo_1;1999;20131;81;1;1,23
Periodo_1;1999;20132;93;5;5,38
Periodo_1;1999;20141;83;2;2,41
Periodo_1;1999;20142;75;1;1,33
Periodo_1;1999;20151;94;6;6,38
Periodo_1;1999;20152;88;5;5,68
Periodo_1;2017;20181;93;0;0,00
Periodo_1;2017;20182;88;3;3,41
Periodo_1;2017;20191;95;5;5,26
Periodo_1;2017;20192;102;0;0,00
Periodo_1;2017;20201;99;1;1,01
Periodo_1;2017;20202;87;1;1,15
Periodo_1;2017;20211;90;2;2,22
Periodo_1;2017;20212;90;0;0,00
Periodo_1;2017;20221;87;0;0,00
Periodo_1;2017;20222;87;3;3,45
Periodo_2;1999;20111;79;11;13,92
Periodo_2;1999;20112;87;10;11,49
Periodo_2;1999;20121;88;16;18,18
Periodo_2;1999;20122;86;12;13,95
Periodo_2;1999;20131;81;8;9,88
Periodo_2;1999;20132;93;28;30,11
Periodo_2;1999;20141;83;13;15,66
Periodo_2;1999;20142;75;12;16,00
Periodo_2;1999;20151;94;18;19,15
Periodo_2;1999;20152;88;13;14,77
Periodo_2;2017;20181;93;3;3,23
Periodo_2;2017;20182;88;6;6,82
Periodo_2;2017;20191;95;8;8,42
Periodo_2;2017;20192;102;3;2,94
Periodo_2;2017;20201;99;8;8,08
Periodo_2;2017;20202;87;5;5,75
Periodo_2;2017;20211;90;6;6,67
Periodo_2;2017;20212;90;7;7,78
Periodo_2;2017;20221;87;5;5,75
Periodo_2;2017;20222;87;10;11,49
Periodo_3;1999;20111;79;13;16,46
Periodo_3;1999;20112;87;25;28,74
Periodo_3;1999;20121;88;24;27,27
Periodo_3;1999;20122;86;16;18,60
Periodo_3;1999;20131;81;13;16,05
Periodo_3;1999;20132;93;34;36,56
Periodo_3;1999;20141;83;21;25,30
Periodo_3;1999;20142;75;26;34,67
Periodo_3;1999;20151;94;22;23,40
Periodo_3;1999;20152;88;17;19,32
Periodo_3;2017;20181;93;8;8,60
Periodo_3;2017;20182;88;10;11,36
Periodo_3;2017;20191;95;11;11,58
Periodo_3;2017;20192;102;7;6,86
Periodo_3;2017;20201;99;12;12,12
Periodo_3;2017;20202;87;5;5,75
Periodo_3;2017;20211;90;8;8,89
Periodo_3;2017;20212;90;16;17,78
Periodo_3;2017;20221;87;10;11,49
Periodo_4;1999;20111;79;19;24,05
Periodo_4;1999;20112;87;32;36,78
Periodo_4;1999;20121;88;30;34,09
Periodo_4;1999;20122;86;21;24,42
Periodo_4;1999;20131;81;23;28,40
Periodo_4;1999;20132;93;42;45,16
Periodo_4;1999;20141;83;28;33,73
Periodo_4;1999;20142;75;32;42,67
Periodo_4;2017;20181;93;11;11,83
Periodo_4;2017;20182;88;17;19,32
Periodo_4;2017;20191;95;13;13,68
Periodo_4;2017;20192;102;8;7,84
Periodo_4;2017;20201;99;12;12,12
Periodo_4;2017;20202;87;6;6,90
Periodo_4;2017;20211;90;11;12,22
Periodo_4;2017;20212;90;18;20,00
