Periodo;Curriculo Entrada;Periodo de Ingresso;Ingressantes;Evadidos;Taxa
Periodo_1;1999;20111;79;4;5,06
Periodo_1;1999;20112;87;2;2,30
Periodo_1;1999;20121;88;3;3,41
Periodo_1;1999;20122;86;3;3,49
Periodo_1;1999;20131;81;1;1,23
Periodo_1;1999;20132;93;5;5,38
Periodo_1;1999;20141;83;2;2,41
Periodo_1;1999;20142;75;1;1,33
Periodo_1;1999;20151;94;6;6,38
Periodo_1;1999;20152;88;5;5,68
Periodo_1;2017;20181;93;0;0,00
Periodo_1;2017;20182;88;3;3,41
Periodo_1;2017;20191;95;5;5,26
Periodo_1;2017;20192;102;0;0,00
Periodo_1;2017;20201;99;1;1,01
Periodo_1;2017;20202;87;1;1,15
Periodo_1;2017;20211;90;2;2,22
Periodo_1;2017;20212;90;0;0,00
Periodo_1;2017;20221;87;0;0,00
Periodo_1;2017;20222;87;3;3,45
