Periodo;Curriculo Entrada;Periodo de Ingresso;Idade Aproximada no Ingresso;Ingressantes;Evadidos;Taxa
P1;1999;20111;16;2;0;0,00
P1;1999;20111;17;4;0;0,00
P1;1999;20111;18;37;3;8,11
P1;1999;20111;19;11;1;9,09
P1;1999;20111;20;3;0;0,00
P1;1999;20111;21;5;0;0,00
P1;1999;20111;22;1;0;0,00
P1;1999;20111;23;3;0;0,00
P1;1999;20111;24;1;0;0,00
P1;1999;20111;25;6;0;0,00
P1;1999;20111;26;2;0;0,00
P1;1999;20111;27;1;0;0,00
P1;1999;20111;28;2;0;0,00
P1;1999;20111;42;1;0;0,00
P1;1999;20112;16;1;0;0,00
P1;1999;20112;17;12;0;0,00
P1;1999;20112;18;19;0;0,00
P1;1999;20112;19;25;0;0,00
P1;1999;20112;20;7;0;0,00
P1;1999;20112;21;5;0;0,00
P1;1999;20112;22;3;0;0,00
P1;1999;20112;23;2;0;0,00
P1;1999;20112;24;3;0;0,00
P1;1999;20112;25;5;1;20,00
P1;1999;20112;27;1;0;0,00
P1;1999;20112;28;2;1;50,00
P1;1999;20112;32;1;0;0,00
P1;1999;20112;36;1;0;0,00
P1;1999;20121;17;11;0;0,00
P1;1999;20121;18;31;2;6,45
P1;1999;20121;19;10;0;0,00
P1;1999;20121;20;9;1;11,11
P1;1999;20121;21;5;0;0,00
P1;1999;20121;22;3;0;0,00
P1;1999;20121;23;3;0;0,00
P1;1999;20121;24;5;0;0,00
P1;1999;20121;25;2;0;0,00
P1;1999;20121;26;2;0;0,00
P1;1999;20121;27;2;0;0,00
P1;1999;20121;29;1;0;0,00
P1;1999;20121;30;2;0;0,00
P1;1999;20121;31;1;0;0,00
P1;1999;20121;32;1;0;0,00
P1;1999;20122;17;7;0;0,00
P1;1999;20122;18;23;2;8,70
P1;1999;20122;19;19;0;0,00
P1;1999;20122;20;15;0;0,00
P1;1999;20122;21;8;0;0,00
P1;1999;20122;22;2;0;0,00
P1;1999;20122;23;3;0;0,00
P1;1999;20122;25;1;0;0,00
P1;1999;20122;26;3;1;33,33
P1;1999;20122;27;1;0;0,00
P1;1999;20122;28;1;0;0,00
P1;1999;20122;35;1;0;0,00
P1;1999;20122;36;1;0;0,00
P1;1999;20122;47;1;0;0,00
P1;1999;20131;17;7;1;14,29
P1;1999;20131;18;42;0;0,00
P1;1999;20131;19;17;0;0,00
P1;1999;20131;20;5;0;0,00
P1;1999;20131;21;3;0;0,00
P1;1999;20131;22;1;0;0,00
P1;1999;20131;23;2;0;0,00
P1;1999;20131;24;1;0;0,00
P1;1999;20131;25;2;0;0,00
P1;1999;20131;27;1;0;0,00
P1;1999;20132;17;12;0;0,00
P1;1999;20132;18;21;1;4,76
P1;1999;20132;19;29;0;0,00
P1;1999;20132;20;15;1;6,67
P1;1999;20132;21;3;2;66,67
P1;1999;20132;22;2;0;0,00
P1;1999;20132;23;4;0;0,00
P1;1999;20132;24;1;0;0,00
P1;1999;20132;25;1;0;0,00
P1;1999;20132;26;1;0;0,00
P1;1999;20132;29;2;1;50,00
P1;1999;20132;31;1;0;0,00
P1;1999;20132;43;1;0;0,00
P1;1999;20141;17;4;0;0,00
P1;1999;20141;18;45;2;4,44
P1;1999;20141;19;17;0;0,00
P1;1999;20141;20;7;0;0,00
P1;1999;20141;21;4;0;0,00
P1;1999;20141;22;2;0;0,00
P1;1999;20141;24;1;0;0,00
P1;1999;20141;30;1;0;0,00
P1;1999;20141;35;1;0;0,00
P1;1999;20141;36;1;0;0,00
P1;1999;20142;17;10;0;0,00
P1;1999;20142;18;21;1;4,76
P1;1999;20142;19;22;0;0,00
P1;1999;20142;20;9;0;0,00
P1;1999;20142;21;5;0;0,00
P1;1999;20142;23;1;0;0,00
P1;1999;20142;24;2;0;0,00
P1;1999;20142;25;2;0;0,00
P1;1999;20142;28;2;0;0,00
P1;1999;20142;50;1;0;0,00
P1;1999;20151;17;13;3;23,08
P1;1999;20151;18;32;2;6,25
P1;1999;20151;19;15;0;0,00
P1;1999;20151;20;13;0;0,00
P1;1999;20151;21;3;0;0,00
P1;1999;20151;22;3;0;0,00
P1;1999;20151;23;2;0;0,00
P1;1999;20151;24;3;0;0,00
P1;1999;20151;25;2;0;0,00
P1;1999;20151;26;2;0;0,00
P1;1999;20151;27;2;0;0,00
P1;1999;20151;28;1;1;100,00
P1;1999;20151;30;2;0;0,00
P1;1999;20151;33;1;0;0,00
P1;1999;20152;17;14;1;7,14
P1;1999;20152;18;16;1;6,25
P1;1999;20152;19;26;2;7,69
P1;1999;20152;20;8;0;0,00
P1;1999;20152;21;7;0;0,00
P1;1999;20152;22;2;0;0,00
P1;1999;20152;23;5;0;0,00
P1;1999;20152;24;3;0;0,00
P1;1999;20152;25;3;1;33,33
P1;1999;20152;27;2;0;0,00
P1;1999;20152;28;1;0;0,00
P1;1999;20152;38;1;0;0,00
P1;2017;20181;17;4;0;0,00
P1;2017;20181;18;35;0;0,00
P1;2017;20181;19;21;0;0,00
P1;2017;20181;20;14;0;0,00
P1;2017;20181;21;5;0;0,00
P1;2017;20181;22;4;0;0,00
P1;2017;20181;23;3;0;0,00
P1;2017;20181;24;1;0;0,00
P1;2017;20181;26;1;0;0,00
P1;2017;20181;28;3;0;0,00
P1;2017;20181;44;1;0;0,00
