Curriculo Entrada;Periodo de Evasao;Ingressantes;Evadidos;Taxa
1999;2011.1;4;4;100,00
1999;2011.2;9;9;100,00
1999;2012.1;13;13;100,00
1999;2012.2;37;37;100,00
1999;2013.1;31;25;80,65
1999;2013.2;34;22;64,71
1999;2014.1;53;35;66,04
1999;2014.2;55;28;50,91
1999;2015.1;59;27;45,76
1999;2015.2;51;21;41,18
1999;2016.1;49;6;12,24
1999;2016.2;44;0;0,00
1999;2017.1;36;0;0,00
1999;2017.2;39;0;0,00
1999;2018.1;33;0;0,00
1999;2018.2;29;0;0,00
1999;2019.1;36;0;0,00
1999;2019.2;18;0;0,00
1999;2020.1;17;0;0,00
1999;2020.2;10;0;0,00
1999;2021.1;3;0;0,00
1999;2021.2;2;0;0,00
1999;2022.1;3;0;0,00
1999;2022.2;1;0;0,00
1999;2023.2;3;0;0,00
1999;2024.1;1;0;0,00
1999;NA;2;0;0,00
2017;2018.2;6;6;100,00
2017;2019.1;13;13;100,00
2017;2019.2;10;10;100,00
2017;2020.1;20;14;70,00
2017;2020.2;25;14;56,00
2017;2021.1;15;11;73,33
2017;2021.2;18;4;22,22
2017;2022.1;49;10;20,41
2017;2022.2;53;12;22,64
2017;2023.1;48;2;4,17
2017;2023.2;95;0;0,00
2017;2024.1;69;0;0,00
2017;2024.2;26;0;0,00
2017;NA;297;0;0,00
