Periodo;Curriculo Entrada;Categoria;Frequencia;Percentual
1;1999;2011.1;4;12,50
1;1999;2011.2;2;6,25
1;1999;2012.1;3;9,38
1;1999;2012.2;3;9,38
1;1999;2013.1;1;3,12
1;1999;2013.2;5;15,62
1;1999;2014.1;2;6,25
1;1999;2014.2;1;3,12
1;1999;2015.1;6;18,75
1;1999;2015.2;5;15,62
1;2017;2018.2;3;20,00
1;2017;2019.1;5;33,33
1;2017;2020.1;1;6,67
1;2017;2020.2;1;6,67
1;2017;2021.1;2;13,33
1;2017;2022.2;3;20,00
2;1999;2011.1;4;2,84
2;1999;2011.2;9;6,38
2;1999;2012.1;11;7,80
2;1999;2012.2;16;11,35
2;1999;2013.1;10;7,09
2;1999;2013.2;12;8,51
2;1999;2014.1;25;17,73
2;1999;2014.2;12;8,51
2;1999;2015.1;17;12,06
2;1999;2015.2;17;12,06
2;1999;2016.1;8;5,67
2;2017;2018.2;6;9,84
2;2017;2019.1;8;13,11
2;2017;2019.2;3;4,92
2;2017;2020.1;4;6,56
2;2017;2020.2;8;13,11
2;2017;2021.1;6;9,84
2;2017;2021.2;4;6,56
2;2017;2022.1;7;11,48
2;2017;2022.2;8;13,11
2;2017;2023.1;7;11,48
3;1999;2011.1;4;1,90
3;1999;2011.2;9;4,27
3;1999;2012.1;13;6,16
3;1999;2012.2;31;14,69
3;1999;2013.1;18;8,53
3;1999;2013.2;16;7,58
3;1999;2014.1;30;14,22
3;1999;2014.2;18;8,53
3;1999;2015.1;25;11,85
3;1999;2015.2;31;14,69
3;1999;2016.1;12;5,69
3;1999;2016.2;4;1,90
3;2017;2018.2;6;6,90
3;2017;2019.1;13;14,94
3;2017;2019.2;7;8,05
3;2017;2020.1;7;8,05
3;2017;2020.2;12;13,79
3;2017;2021.1;10;11,49
3;2017;2021.2;4;4,60
3;2017;2022.1;9;10,34
3;2017;2022.2;14;16,09
3;2017;2023.1;5;5,75
4;1999;2011.1;4;1,76
4;1999;2011.2;9;3,96
4;1999;2012.1;13;5,73
4;1999;2012.2;37;16,30
4;1999;2013.1;25;11,01
4;1999;2013.2;22;9,69
4;1999;2014.1;35;15,42
4;1999;2014.2;28;12,33
4;1999;2015.1;27;11,89
4;1999;2015.2;21;9,25
4;1999;2016.1;6;2,64
4;2017;2018.2;6;6,25
4;2017;2019.1;13;13,54
4;2017;2019.2;10;10,42
4;2017;2020.1;14;14,58
4;2017;2020.2;14;14,58
4;2017;2021.1;11;11,46
4;2017;2021.2;4;4,17
4;2017;2022.1;10;10,42
4;2017;2022.2;12;12,50
4;2017;2023.1;2;2,08
