Curriculo Entrada;Periodo de Ingresso;Sexo;Ingressantes;Evadidos;Taxa
1999;20111;FEMININO;14;0;0,00
1999;20111;MASCULINO;65;2;3,08
1999;20112;FEMININO;11;3;27,27
1999;20112;MASCULINO;76;12;15,79
1999;20121;FEMININO;12;0;0,00
1999;20121;MASCULINO;76;8;10,53
1999;20122;FEMININO;18;2;11,11
1999;20122;MASCULINO;68;2;2,94
1999;20131;FEMININO;13;0;0,00
1999;20131;MASCULINO;68;5;7,35
1999;20132;FEMININO;14;2;14,29
1999;20132;MASCULINO;79;4;5,06
1999;20141;FEMININO;13;2;15,38
1999;20141;MASCULINO;70;6;8,57
1999;20142;FEMININO;11;1;9,09
1999;20142;MASCULINO;64;13;20,31
1999;20151;FEMININO;13;1;7,69
1999;20151;MASCULINO;81;3;3,70
1999;20152;FEMININO;17;1;5,88
1999;20152;MASCULINO;71;3;4,23
2017;20181;FEMININO;11;1;9,09
2017;20181;MASCULINO;82;4;4,88
2017;20182;FEMININO;10;1;10,00
2017;20182;MASCULINO;78;3;3,85
2017;20191;FEMININO;13;0;0,00
2017;20191;MASCULINO;82;3;3,66
2017;20192;FEMININO;20;1;5,00
2017;20192;MASCULINO;82;3;3,66
2017;20201;FEMININO;16;1;6,25
2017;20201;MASCULINO;83;3;3,61
2017;20202;FEMININO;15;0;0,00
2017;20202;MASCULINO;72;0;0,00
2017;20211;FEMININO;18;0;0,00
2017;20211;MASCULINO;72;2;2,78
2017;20212;FEMININO;23;2;8,70
2017;20212;MASCULINO;67;7;10,45
2017;20221;FEMININO;24;1;4,17
2017;20221;MASCULINO;63;4;6,35
2017;20222;FEMININO;18;0;0,00
2017;20222;MASCULINO;69;1;1,45
