Currículo Entrada,Período de Ingresso,Ingressantes,Graduados,Percentual,Percentual_plot
1999,2011.1,79,34,43,43
1999,2011.2,87,24,27.6,27.6
1999,2012.1,88,30,34.1,34.1
1999,2012.2,86,36,41.9,41.9
1999,2013.1,81,28,34.6,34.6
1999,2013.2,93,23,24.7,24.7
1999,2014.1,83,33,39.8,39.8
1999,2014.2,75,28,37.3,37.3
1999,2015.1,94,51,54.3,54.3
1999,2015.2,88,45,51.1,51.1
2017,2018.1,93,57,61.3,61.3
2017,2018.2,88,39,44.3,44.3
2017,2019.1,95,54,56.8,56.8
2017,2019.2,102,38,37.3,37.3
2017,2020.1,99,21,21.2,21.2
2017,2020.2,87,7,8,8
2017,2021.1,90,0,0,NA
2017,2021.2,90,0,0,NA
2017,2022.1,87,0,0,NA
2017,2022.2,87,0,0,NA
