Curriculo Entrada;Tipo de Evasao;Ingressantes;Evadidos;Taxa
1999;CANCELADO 3 REPROV MESMA DISCIPLINA;126;19;15,08
1999;CANCELADO NOVO INGRESSO OUTRO CURSO;13;7;53,85
1999;CANCELADO REPROVOU TODAS POR FALTAS;108;85;78,70
1999;CANCELAMENTO DE MATRICULA;2;0;0,00
1999;CANCELAMENTO P SOLICITACAO ALUNO;61;48;78,69
1999;CANCELAMENTO POR ABANDONO;124;68;54,84
1999;GRADUADO;236;0;0,00
1999;REGULAR;2;0;0,00
2017;CANCELADO 3 REPROV MESMA DISCIPLINA;35;4;11,43
2017;CANCELADO NOVO INGRESSO OUTRO CURSO;5;1;20,00
2017;CANCELADO REPROVOU TODAS POR FALTAS;29;18;62,07
2017;CANCELAMENTO P SOLICITACAO ALUNO;33;23;69,70
2017;CANCELAMENTO POR ABANDONO;128;50;39,06
2017;GRADUADO;216;0;0,00
2017;REGULAR;297;0;0,00
2017;TRANSFERIDO PARA OUTRA IES;1;0;0,00
