Periodo;Curriculo Entrada;Categoria;Frequencia;Percentual
1;1999;CANCELAMENTO P SOLICITACAO ALUNO;30;93,75
1;1999;CANCELAMENTO POR ABANDONO;2;6,25
1;2017;CANCELAMENTO P SOLICITACAO ALUNO;15;100,00
2;1999;CANCELADO NOVO INGRESSO OUTRO CURSO;8;5,67
2;1999;CANCELADO REPROVOU TODAS POR FALTAS;47;33,33
2;1999;CANCELAMENTO P SOLICITACAO ALUNO;42;29,79
2;1999;CANCELAMENTO POR ABANDONO;44;31,21
2;2017;CANCELADO REPROVOU TODAS POR FALTAS;13;21,31
2;2017;CANCELAMENTO P SOLICITACAO ALUNO;22;36,07
2;2017;CANCELAMENTO POR ABANDONO;26;42,62
3;1999;CANCELADO 3 REPROV MESMA DISCIPLINA;2;0,95
3;1999;CANCELADO NOVO INGRESSO OUTRO CURSO;9;4,27
3;1999;CANCELADO REPROVOU TODAS POR FALTAS;80;37,91
3;1999;CANCELAMENTO P SOLICITACAO ALUNO;53;25,12
3;1999;CANCELAMENTO POR ABANDONO;67;31,75
3;2017;CANCELADO REPROVOU TODAS POR FALTAS;20;22,99
3;2017;CANCELAMENTO P SOLICITACAO ALUNO;21;24,14
3;2017;CANCELAMENTO POR ABANDONO;46;52,87
4;1999;CANCELADO 3 REPROV MESMA DISCIPLINA;19;8,37
4;1999;CANCELADO NOVO INGRESSO OUTRO CURSO;7;3,08
4;1999;CANCELADO REPROVOU TODAS POR FALTAS;85;37,44
4;1999;CANCELAMENTO P SOLICITACAO ALUNO;48;21,15
4;1999;CANCELAMENTO POR ABANDONO;68;29,96
4;2017;CANCELADO 3 REPROV MESMA DISCIPLINA;4;4,17
4;2017;CANCELADO NOVO INGRESSO OUTRO CURSO;1;1,04
4;2017;CANCELADO REPROVOU TODAS POR FALTAS;18;18,75
4;2017;CANCELAMENTO P SOLICITACAO ALUNO;23;23,96
4;2017;CANCELAMENTO POR ABANDONO;50;52,08
